"filename", "language", "HTML", "JSON", "JSON with Comments", "TypeScript", "toml", "CSS", "TypeScript JSX", "XML", "JavaScript", "comment", "blank", "total"
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup\ListGroup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup\ListGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal\Modal.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\NavBar.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 5, 44
"x:\Dev\Koulu\Web\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"x:\Dev\Koulu\Web\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"x:\Dev\Koulu\Web\frontend\src\map.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"x:\Dev\Koulu\Web\frontend\src\types\leaflet-marker-easing.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"x:\Dev\Koulu\Web\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"x:\Dev\Koulu\Web\frontend\test.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"x:\Dev\Koulu\Web\frontend\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"x:\Dev\Koulu\Web\frontend\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"x:\Dev\Koulu\Web\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 38, 2067, 21, 49, 9, 57, 441, 2, 6, 22, 121, 2833
