"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "XML", "toml", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 9, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.module.css", "CSS", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 10, 78
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Like\Like.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 7, 43
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.css", "CSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 7, 70
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.css", "CSS", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 13, 92
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 7, 217
