"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "Python", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"x:\Dev\Koulu\Web\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, -1, -1
"x:\Dev\Koulu\Web\backend\airplane.py", "Python", 0, 0, 0, 0, -28, -9, -5, -42
"x:\Dev\Koulu\Web\backend\carrier_handler.py", "Python", 0, 0, 0, 0, -48, -7, -12, -67
"x:\Dev\Koulu\Web\backend\config.py", "Python", 0, 0, 0, 0, -71, -2, -7, -80
"x:\Dev\Koulu\Web\backend\db_handler.py", "Python", 0, 0, 0, 0, -109, -15, -30, -154
"x:\Dev\Koulu\Web\backend\gui_handler.py", "Python", 0, 0, 0, 0, -132, -6, -15, -153
"x:\Dev\Koulu\Web\backend\main.py", "Python", 0, 0, 0, 0, -51, -30, -13, -94
"x:\Dev\Koulu\Web\backend\observer.py", "Python", 0, 0, 0, 0, -20, -4, -3, -27
"x:\Dev\Koulu\Web\backend\route_handler.py", "Python", 0, 0, 0, 0, -112, -14, -19, -145
"x:\Dev\Koulu\Web\backend\routes.py", "Python", 0, 0, 0, 0, -216, -5, -40, -261
"x:\Dev\Koulu\Web\backend\tools.py", "Python", 0, 0, 0, 0, -22, -2, -8, -32
"Total", "-", 469, 1498, 305, 1, -809, -68, 109, 1505
