"filename", "language", "Python", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Input.tsx", "TypeScript JSX", 0, 0, -21, 0, 0, 0, -4, -25
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Like\Like.tsx", "TypeScript JSX", 0, 0, -19, 0, 0, 0, -2, -21
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup.tsx", "TypeScript JSX", 0, 0, -24, 0, 0, 0, -5, -29
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.css", "CSS", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.tsx", "TypeScript JSX", 0, 0, -36, 0, 0, 0, -7, -43
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\index.ts", "TypeScript", 0, -2, 0, 0, 0, 0, -1, -3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.css", "CSS", 0, 0, 0, -18, 0, 0, -4, -22
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.tsx", "TypeScript JSX", 0, 0, -63, 0, 0, 0, -7, -70
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.css", "CSS", 0, 0, 0, -79, 0, 0, -13, -92
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.tsx", "TypeScript JSX", 0, 0, -210, 0, 0, 0, -7, -217
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\SearchBox.tsx", "TypeScript JSX", 0, 0, -95, 0, 0, 0, -8, -103
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.css", "CSS", 0, 0, 0, -6, 0, 0, -1, -7
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.tsx", "TypeScript JSX", 0, 0, -65, 0, 0, -1, -7, -73
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.css", "CSS", 0, 0, 0, -38, 0, 0, -4, -42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, -64, 0, 0, -1, -6, -71
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\main.tsx", "TypeScript JSX", 0, 0, -27, 0, 0, 0, -6, -33
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Airplane.ts", "TypeScript", 0, -62, 0, 0, 0, -2, -5, -69
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Carrier.ts", "TypeScript", 0, -19, 0, 0, 0, -2, -3, -24
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\leaflet-marker-easing.d.ts", "TypeScript", 0, -12, 0, 0, 0, 0, -2, -14
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\types.ts", "TypeScript", 0, -2, 0, 0, 0, 0, -1, -3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, -1, -1, -2
"Total", "-", 729, -247, -995, -272, -1, 72, -64, -778
