"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "XML", "HTML", "JSON", "JSON with Comments", "toml", "JavaScript", "comment", "blank", "total"
"x:\Dev\Koulu\Web\frontend\src\components\Button\Button.tsx", "TypeScript JSX", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -18
"x:\Dev\Koulu\Web\frontend\src\components\Input.tsx", "TypeScript JSX", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -25
"x:\Dev\Koulu\Web\frontend\src\components\Like\Like.tsx", "TypeScript JSX", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup.tsx", "TypeScript JSX", -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -29
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup\ListGroup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup\ListGroup.tsx", "TypeScript JSX", -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -43
"x:\Dev\Koulu\Web\frontend\src\components\ListGroup\index.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal\Modal.css", "CSS", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -2, -22
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal\Modal.tsx", "TypeScript JSX", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -23
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\NavBar.css", "CSS", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, -4, -22
"x:\Dev\Koulu\Web\frontend\src\components\TopBar\NavBar.tsx", "TypeScript JSX", -38, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -44
"x:\Dev\Koulu\Web\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"x:\Dev\Koulu\Web\frontend\src\main.tsx", "TypeScript JSX", -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -33
"x:\Dev\Koulu\Web\frontend\src\map.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"x:\Dev\Koulu\Web\frontend\src\types\leaflet-marker-easing.d.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -2, -14
"x:\Dev\Koulu\Web\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"x:\Dev\Koulu\Web\frontend\test.html", "HTML", 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -1, -20
"x:\Dev\Koulu\Web\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, -1, -22
"x:\Dev\Koulu\Web\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
"x:\Dev\Koulu\Web\frontend\vite.config.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, 0, 0, -1, -2, -8
"Total", "-", 554, 215, 198, -1, -38, -2067, -21, -9, -6, -4, 61, -1118
